event_id nfired_ustrips_inroi nfired_vstrips_inroi roi_ustrip_min roi_ustrip_max roi_vstrip_min roi_vstrip_max roi_u_width roi_v_width
0 30 65 2499.00000000 2649.00000000 2249.00000000 2461.00000000 150.00000000 212.00000000
1 29 82 3511.00000000 3661.00000000 2966.00000000 3178.00000000 150.00000000 212.00000000
2 52 51 1353.00000000 1503.00000000 1299.00000000 1511.00000000 150.00000000 212.00000000
3 31 66 1976.00000000 2126.00000000 1781.00000000 1993.00000000 150.00000000 212.00000000
4 33 107 1311.00000000 1461.00000000 904.00000000 1116.00000000 150.00000000 212.00000000
5 72 135 1711.00000000 1861.00000000 1472.00000000 1684.00000000 150.00000000 212.00000000
6 65 52 2333.00000000 2483.00000000 1632.00000000 1845.00000000 150.00000000 213.00000000
7 42 90 2214.00000000 2364.00000000 1642.00000000 1854.00000000 150.00000000 212.00000000
8 35 33 660.00000000 810.00000000 522.00000000 735.00000000 150.00000000 213.00000000
9 71 59 2309.00000000 2459.00000000 1908.00000000 2120.00000000 150.00000000 212.00000000
10 29 87 1540.00000000 1690.00000000 1662.00000000 1874.00000000 150.00000000 212.00000000
11 49 67 3424.00000000 3574.00000000 2778.00000000 2990.00000000 150.00000000 212.00000000
12 19 57 1547.00000000 1697.00000000 1410.00000000 1622.00000000 150.00000000 212.00000000
13 52 51 771.00000000 921.00000000 928.00000000 1140.00000000 150.00000000 212.00000000
14 47 79 755.00000000 905.00000000 870.00000000 1082.00000000 150.00000000 212.00000000
15 37 89 1632.00000000 1782.00000000 1685.00000000 1897.00000000 150.00000000 212.00000000
16 23 83 2303.00000000 2453.00000000 1966.00000000 2178.00000000 150.00000000 212.00000000
17 42 68 1287.00000000 1437.00000000 1366.00000000 1578.00000000 150.00000000 212.00000000
18 56 101 2176.00000000 2326.00000000 1748.00000000 1960.00000000 150.00000000 212.00000000
19 56 45 746.00000000 896.00000000 743.00000000 955.00000000 150.00000000 212.00000000
20 40 122 1915.00000000 2065.00000000 1316.00000000 1528.00000000 150.00000000 212.00000000
21 48 60 3327.00000000 3477.00000000 2829.00000000 3041.00000000 150.00000000 212.00000000
22 37 60 2925.00000000 3075.00000000 2144.00000000 2356.00000000 150.00000000 212.00000000
23 59 91 1203.00000000 1353.00000000 974.00000000 1186.00000000 150.00000000 212.00000000
24 55 108 2300.00000000 2450.00000000 2314.00000000 2526.00000000 150.00000000 212.00000000
25 27 78 2637.00000000 2787.00000000 1881.00000000 2094.00000000 150.00000000 213.00000000
26 48 46 3441.00000000 3591.00000000 2985.00000000 3197.00000000 150.00000000 212.00000000
27 5 17 454.00000000 604.00000000 418.00000000 630.00000000 150.00000000 212.00000000
28 21 78 1507.00000000 1657.00000000 1578.00000000 1790.00000000 150.00000000 212.00000000
29 83 94 2642.00000000 2792.00000000 2290.00000000 2502.00000000 150.00000000 212.00000000
30 33 99 2108.00000000 2258.00000000 2094.00000000 2307.00000000 150.00000000 213.00000000
31 92 119 1070.00000000 1220.00000000 1054.00000000 1266.00000000 150.00000000 212.00000000
32 22 96 1950.00000000 2100.00000000 1477.00000000 1689.00000000 150.00000000 212.00000000
33 27 49 2368.00000000 2518.00000000 1990.00000000 2202.00000000 150.00000000 212.00000000
34 59 95 2857.00000000 3007.00000000 2110.00000000 2323.00000000 150.00000000 213.00000000
35 49 65 2682.00000000 2832.00000000 1945.00000000 2157.00000000 150.00000000 212.00000000
36 57 91 2452.00000000 2602.00000000 2232.00000000 2444.00000000 150.00000000 212.00000000
37 20 51 2681.00000000 2831.00000000 2482.00000000 2694.00000000 150.00000000 212.00000000
38 55 105 2047.00000000 2197.00000000 1608.00000000 1821.00000000 150.00000000 213.00000000
39 35 66 2107.00000000 2257.00000000 1613.00000000 1825.00000000 150.00000000 212.00000000
40 19 51 1496.00000000 1646.00000000 1537.00000000 1750.00000000 150.00000000 213.00000000
41 74 76 1637.00000000 1787.00000000 1210.00000000 1422.00000000 150.00000000 212.00000000
42 94 96 3073.00000000 3361.00000000 2770.00000000 3129.00000000 288.00000000 359.00000000
43 58 67 2340.00000000 2490.00000000 2121.00000000 2333.00000000 150.00000000 212.00000000
44 76 96 1460.00000000 1610.00000000 1550.00000000 1762.00000000 150.00000000 212.00000000
45 16 83 1472.00000000 1622.00000000 1184.00000000 1396.00000000 150.00000000 212.00000000
46 63 85 1987.00000000 2137.00000000 1721.00000000 1934.00000000 150.00000000 213.00000000
47 69 48 1452.00000000 1602.00000000 1327.00000000 1539.00000000 150.00000000 212.00000000
48 36 99 2322.00000000 2472.00000000 1779.00000000 1991.00000000 150.00000000 212.00000000
49 24 28 3472.00000000 3622.00000000 2980.00000000 3192.00000000 150.00000000 212.00000000
50 52 64 1434.00000000 1584.00000000 1162.00000000 1374.00000000 150.00000000 212.00000000
51 40 18 773.00000000 923.00000000 822.00000000 1035.00000000 150.00000000 213.00000000
52 18 95 1854.00000000 2004.00000000 1601.00000000 1814.00000000 150.00000000 213.00000000
53 50 77 1285.00000000 1435.00000000 1497.00000000 1709.00000000 150.00000000 212.00000000
54 65 77 1337.00000000 1487.00000000 921.00000000 1133.00000000 150.00000000 212.00000000
55 61 87 1875.00000000 2025.00000000 1578.00000000 1790.00000000 150.00000000 212.00000000
56 45 78 1825.00000000 1975.00000000 1393.00000000 1605.00000000 150.00000000 212.00000000
57 65 89 1420.00000000 1570.00000000 1034.00000000 1246.00000000 150.00000000 212.00000000
58 36 87 1576.00000000 1726.00000000 1640.00000000 1852.00000000 150.00000000 212.00000000
59 65 77 2290.00000000 2440.00000000 1972.00000000 2185.00000000 150.00000000 213.00000000
60 47 117 3325.00000000 3475.00000000 2819.00000000 3032.00000000 150.00000000 213.00000000
61 63 76 1329.00000000 1479.00000000 1561.00000000 1773.00000000 150.00000000 212.00000000
62 15 91 2416.00000000 2566.00000000 1952.00000000 2165.00000000 150.00000000 213.00000000
63 14 21 554.00000000 704.00000000 538.00000000 750.00000000 150.00000000 212.00000000
64 45 75 2057.00000000 2207.00000000 1469.00000000 1681.00000000 150.00000000 212.00000000
65 48 94 3045.00000000 3195.00000000 2550.00000000 2762.00000000 150.00000000 212.00000000
66 51 58 3255.00000000 3405.00000000 2790.00000000 3003.00000000 150.00000000 213.00000000
67 42 78 1296.00000000 1446.00000000 1431.00000000 1644.00000000 150.00000000 213.00000000
68 53 129 2044.00000000 2194.00000000 1807.00000000 2019.00000000 150.00000000 212.00000000
69 34 46 3013.00000000 3163.00000000 2710.00000000 2922.00000000 150.00000000 212.00000000
70 54 91 2156.00000000 2306.00000000 1805.00000000 2017.00000000 150.00000000 212.00000000
71 71 74 816.00000000 966.00000000 942.00000000 1154.00000000 150.00000000 212.00000000
72 39 96 2567.00000000 2717.00000000 2355.00000000 2568.00000000 150.00000000 213.00000000
73 63 80 1874.00000000 2024.00000000 1719.00000000 1931.00000000 150.00000000 212.00000000
74 36 86 1398.00000000 1548.00000000 1567.00000000 1779.00000000 150.00000000 212.00000000
75 90 70 2807.00000000 2957.00000000 2456.00000000 2668.00000000 150.00000000 212.00000000
76 42 66 1578.00000000 1728.00000000 1099.00000000 1311.00000000 150.00000000 212.00000000
77 87 89 2581.00000000 2731.00000000 2101.00000000 2313.00000000 150.00000000 212.00000000
78 27 73 1739.00000000 1889.00000000 1290.00000000 1502.00000000 150.00000000 212.00000000
79 116 107 1056.00000000 1206.00000000 1057.00000000 1270.00000000 150.00000000 213.00000000
80 34 36 3478.00000000 3628.00000000 2796.00000000 3008.00000000 150.00000000 212.00000000
81 36 67 3313.00000000 3463.00000000 2644.00000000 2856.00000000 150.00000000 212.00000000
82 33 52 1285.00000000 1435.00000000 1299.00000000 1511.00000000 150.00000000 212.00000000
83 55 114 2022.00000000 2172.00000000 1804.00000000 2016.00000000 150.00000000 212.00000000
84 67 95 3119.00000000 3269.00000000 2735.00000000 2947.00000000 150.00000000 212.00000000
85 58 80 1295.00000000 1445.00000000 1342.00000000 1554.00000000 150.00000000 212.00000000
86 53 113 1782.00000000 1932.00000000 1506.00000000 1718.00000000 150.00000000 212.00000000
87 55 110 2379.00000000 2529.00000000 1656.00000000 1868.00000000 150.00000000 212.00000000
88 71 109 1926.00000000 2076.00000000 1937.00000000 2149.00000000 150.00000000 212.00000000
89 50 80 1304.00000000 1454.00000000 1279.00000000 1491.00000000 150.00000000 212.00000000
